Rubin,1000,100,1000
Seymour,1500,2,3000
Wm,2000,3,6000
Young,1000,1,1000
Benjamine,1500,2,3000
Carey,2000,3,6000
Carlton,1750,1,1750
Eldridge,1800,2,3600
Elzie,1850,3,5550
Garrett,1900,1,1900
Isham,1950,2,3900
Johnson,2000,3,6000
Larry,1000,1,1000
Logan,1500,2,3000
Merrill,2000,3,6000
Mont,1750,1,1750
Oren,1800,2,3600
Pierre,1850,3,5550
Rex,1900,1,1900
Rodney,1950,2,3900
Ted,2000,3,6000
Webster,1000,1,1000
West,1500,2,3000
Wheeler,2000,3,6000
Willam,1750,1,1750
Al,1800,2,3600
Aloysius,1850,3,5550
Alvie,1900,1,1900
Anna,1950,2,3900
Art,2000,3,6000
Augustine,1000,1,1000
Bailey,1500,2,3000
Benjaman,2000,3,6000
Beverly,1750,1,1750
Bishop,1800,2,3600
Clair,1850,3,5550
Cloyd,1900,1,1900
Coleman,1950,2,3900
Dana,2000,3,6000
Duncan,1000,1,1000
Dwight,1500,2,3000
Emile,2000,3,6000
Evert,1750,1,1750
Henderson,1800,2,3600
Hunter,1850,3,5550
Jean,1900,1,1900
Lem,1950,2,3900
Luis,2000,3,6000
Mathias,1000,1,1000
Maynard,1500,2,3000
Miguel,2000,3,6000
Mortimer,1750,1,1750
Nels,1800,2,3600
Norris,1850,3,5550
Pat,1900,1,1900
Phil,1950,2,3900
Rush,2000,3,6000
Santiago,1000,1,1000
Sol,1500,2,3000
Sydney,2000,3,6000
Thaddeus,1000,1,1000
Thornton,1500,2,3000
Tim,2000,3,6000
Travis,1750,1,1750
Truman,1800,2,3600
Watson,1850,3,5550
Webb,1900,1,1900
Wellington,1950,2,3900
Winfred,2000,3,6000
Wylie,1000,1,1000
Alec,1500,2,3000
Basil,2000,3,6000
Baxter,1750,1,1750
Bertrand,1800,2,3600
Buford,1850,3,5550
Burr,1900,1,1900
Cleveland,1950,2,3900
Colonel,2000,3,6000
Dempsey,1000,1,1000
Early,1500,2,3000
Ellsworth,2000,3,6000
Fate,1750,1,1750
Finley,1800,2,3600
Gabe,1850,3,5550
Garland,1900,1,1900
Gerald,1950,2,3900
Herschel,2000,3,6000
Hezekiah,1000,1,1000
Justus,1500,2,3000
Lindsey,2000,3,6000
Marcellus,1750,1,1750
Olaf,1800,2,3600
Olin,1850,3,5550
Pablo,1900,1,1900
Rolland,1950,2,3900
Turner,2000,3,6000
Verne,1000,1,1000
Volney,1500,2,3000
Williams,2000,3,6000
Almon,1750,1,1750
Alois,1800,2,3600
Alonza,1850,3,5550
Anson,1900,1,1900
Authur,1950,2,3900
Benton,2000,3,6000
Billie,1000,1,1000
Cornelious,1500,2,3000
Darius,2000,3,6000
Denis,1750,1,1750
Dillard,1800,2,3600
Doctor,1850,3,5550
Elvin,1900,1,1900
Emma,1950,2,3900
Eric,2000,3,6000
Evans,1000,1,1000
Gideon,1500,2,3000
Haywood,2000,3,6000
Hilliard,1000,1,1000
Hosea,1500,2,3000
Lincoln,2000,3,6000
Lonzo,1750,1,1750
Lucious,1800,2,3600
Lum,1850,3,5550
Malachi,1900,1,1900
Newt,1950,2,3900
Noel,2000,3,6000
Orie,1000,1,1000
Palmer,1500,2,3000
Pinkney,2000,3,6000
Shirley,1750,1,1750
Sumner,1800,2,3600
Terry,1850,3,5550
Urban,1900,1,1900
Uriah,1950,2,3900
Valentine,2000,3,6000
Waldo,1000,1,1000
Warner,1500,2,3000
Wong,2000,3,6000
Zeb,1750,1,1750
Abel,1800,2,3600
Alden,1850,3,5550
Archer,1900,1,1900
Avery,1950,2,3900
Carson,2000,3,6000
Cullen,1000,1,1000
Doc,1500,2,3000
Eben,2000,3,6000
Elige,1750,1,1750
Elizabeth,1800,2,3600
Elmore,1850,3,5550
Ernst,1900,1,1900
Finis,1950,2,3900
Freddie,2000,3,6000
Godfrey,1000,1,1000
Guss,1500,2,3000
Hamp,2000,3,6000
Hermann,1750,1,1750
Isadore,1800,2,3600
Isreal,1850,3,5550
Jones,1900,1,1900
June,1950,2,3900
Lacy,2000,3,6000
Lafe,1000,1,1000
Leland,1500,2,3000
Llewellyn,2000,3,6000
Ludwig,1750,1,1750
Manford,1800,2,3600
Maxwell,1850,3,5550
Minnie,1900,1,1900
Obie,1950,2,3900
Octave,2000,3,6000
Orrin,1000,1,1000
Ossie,1500,2,3000
Oswald,2000,3,6000
Park,1000,1,1000
Parley,1500,2,3000
Ramon,2000,3,6000
Rice,1750,1,1750
Stonewall,1800,2,3600
Theo,1850,3,5550
Tillman,1900,1,1900
Addie,1950,2,3900
Aron,2000,3,6000
Ashley,1000,1,1000
Bernhard,1500,2,3000
Bertie,2000,3,6000
Berton,1750,1,1750
Buster,1800,2,3600
Butler,1850,3,5550
Carleton,1900,1,1900
Carrie,1950,2,3900
Clara,2000,3,6000
Clarance,1000,1,1000
